position,velocity,classification
real,real,string
0.22446626530688096,-0.038729625414582136,0
-0.546196539882537,-0.013844949028774318,0
-0.23182256127570433,0.04524974181965538,2
-0.898942773646505,-0.01459387180880043,0
-0.8996425596379012,-0.0575380485921015,0
-0.36781087762369036,0.02591874550795059,2
-0.011331528054761675,0.017916925153706312,2
0.07537578413812107,0.002625419468767723,2
0.15042748713690823,-0.010803757711989659,0
0.3040241045144201,-0.0327098340725246,0
-0.7461543385560974,-0.035205826170697604,0
-0.9221052323674208,-0.011490083431406027,0
-0.27884922956902836,0.006252304806605755,2
-0.4728380307630228,0.016715732573867242,2
-0.7411692486615864,-0.05469794721434875,0
-0.9711463666383724,0.012731049738892428,2
-0.5783226770917335,-0.009353897199435066,0
-0.87670230767719,0.0275006737629908,2
-1.0855637018187982,-0.04936167775332352,0
-0.9744684443161433,-0.04478700107061949,0
0.26348332681320974,0.012707752558659094,2
-0.7096544873837902,-0.06292598722985411,0
0.14311924599835146,-0.04346925881795852,0
-1.0811097203352882,0.013580765230221614,2
-0.7611923093518895,0.05048531647636069,2
-0.9997947081775641,-0.014844683819182636,0
-0.484960728674816,0.06388412692408971,2
0.3591255407759779,0.06934555052043742,2
0.5266609899078771,0.04236759643243898,2
-0.8523630450412769,-0.023639753952303007,0
0.10501253329768834,0.03687421073797087,2
-0.44881472155726965,0.06150344093031607,2
0.44211472292450127,-0.013230239087497826,0
-0.490745705904327,-0.026236150148412837,0
-0.3006672331227459,-0.026899017225823448,0
-0.09233359888940829,-0.05439285526497865,0
0.14832278894300988,-0.06291638874975926,0
0.052681019908854765,0.03559045452854821,2
-0.4740728316261307,-0.014198409037616225,0
-1.0127334915522552,0.03503355819646063,2
-0.15503787868562346,-0.06238217751454993,0
-1.140950003937724,-0.03296855206443349,0
0.06910097525793013,-0.06738423568931007,0
1.59638431187048E-4,-0.014756667456001876,0
0.2801204149356262,-0.028428333878126835,0
0.5793380606820115,0.03236970106078736,2
-0.1394048465578972,0.05433142001564775,2
0.19294036629947287,-0.013586267560904364,0
0.18542076425029208,0.040186459710880224,2
-0.35560731829353776,0.01480654541750534,2
-0.1423024039191767,0.05375624074653579,2
-0.7078290518880301,-0.044004918392451645,0
0.006761811969205445,0.03824324547637008,2
-1.1183737642589826,0.0637573493830062,2
0.31032476909852624,0.017429766131913244,2
0.05077555305153303,0.02670314956974755,2
0.051815669062239555,-0.00802966214554663,0
0.26100861679200116,-0.053743607337603784,0
0.39758862311313314,0.05694250692268177,2
-0.1356178130326322,-0.008226174883780753,0
0.5365818898020915,-0.01425653631869353,0
-0.32773593794531686,0.015076622622458888,2
0.4084972066664143,0.021862181507363368,2
-0.3910773795146949,0.0369791027467421,2
0.28081361300749696,0.013857360113051748,2
-1.1530083477261655,-0.06893247748041909,0
-0.5789162826878497,0.06711622965189823,2
-0.7834456445007985,-0.017869581414799524,0
-0.12223662431678828,0.046802477999611986,2
-0.8277862120204855,0.03204221485532088,2
-0.9462686872902427,0.06713292703988985,2
0.34240642498756246,0.017392953998014743,2
-0.7172020703874367,0.006649008765674452,2
-0.012879255106896137,-0.027975191511720704,0
0.4036993157590749,5.652459221640038E-4,2
-0.7568498403311192,-0.039448932940952586,0
-0.3438548345192707,0.014648107213967601,2
-0.9310464772901162,0.01826970559893655,2
-0.4836731072305849,-0.043007196676267,0
0.1936174557602186,0.044955509882165984,2
-0.8742324173659186,0.06661694833735543,2
-0.4646038230390068,0.042981780565853,2
0.19725141018366465,0.0023968698525152765,2
-1.0721353604062343,-0.02627062642069391,0
-1.0820931494384158,-0.03313204982150732,0
-0.7979141761818063,-0.02316498698625051,0
0.43731203001354935,0.04272311208401795,2
0.2205162591662384,-1.1876841208458E-5,0
0.1017638379817507,-0.008713048178091223,0
0.023732907545251702,-0.05959313571062701,0
0.4464073460407325,0.05152449086218312,2
-0.7601948093623242,0.0073030321269658555,2
0.1427288145874197,-0.06426119746752966,0
-0.45818464520285807,-0.0313916926289579,0
-1.131432104835726,0.009935671683041311,2
-0.5117538382047516,0.0036153745899692863,2
-0.20951367186127856,0.06311953012881133,2
0.21009828783709783,-0.025598034527289835,0
-1.1698205043392378,-9.310952750706258E-4,0
0.01359182765485989,0.018480747014127524,2
0.5512207665548807,-0.049520576225701066,0
0.565787777157742,0.01700626288122785,2
-0.9246797337120991,0.025102816307906756,2
0.5552868070647574,-5.006984628870698E-4,0
-0.11912174811591902,-0.04875583755626079,0
0.2809991964729268,-0.06676773167253189,0
0.14818867413747716,0.04879168906718154,2
-0.5785224304212198,0.06900079772843057,2
-1.1006547401498457,0.01306652772176256,2
0.2005835473084876,0.022371289004084027,2
-0.15298096313918608,-0.0049628389893239255,0
-1.1335580042568367,0.025845341231063648,2
-0.8540874092165041,-0.043517041009567284,0
-1.0529743913699667,0.04845718112591292,2
-0.21047188101263692,0.05743838915120003,2
-0.5108445938569091,0.017843199227832382,2
-0.2593564310358769,0.005980867068895682,2
0.3357272144271777,-0.007075405868442977,0
-1.1822272298703826,-0.015087077763867217,0
-0.292445868628055,-0.011368840216751733,0
0.1857972513841164,0.06186650339007965,2
-0.4076144229629325,-0.010211461291305346,0
0.19023008765627192,0.002713733639204491,2
-0.09213641809405893,-0.026476883880378915,0
-0.6755320694808332,-0.0015795968814109468,0
-0.8539366583541379,-0.04511354702854571,0
-0.12042989677411153,0.02078472641984945,2
-1.0947774761228826,-8.405855379819693E-4,0
-0.33445325241995383,-0.04802032554559357,0
-0.7515801925993321,0.02352830277715419,2
-0.34616398725594355,-0.05977941123349592,0
-0.2649509492084383,-0.023629186069477524,0
0.03332327837581528,0.05516294612328737,2
-0.1658522193148142,0.015926381598338216,2
-1.0980827928304306,8.180498134181119E-4,2
-0.712040979164843,-0.05165067992330117,0
-1.0986672011695393,-0.00571755967669782,0
-0.6285853900167057,-0.009527128583449458,0
0.14885331173384064,-0.04940395726026463,0
0.2926795143850791,0.02281415068996155,2
0.43465911055594897,0.00697997395816391,2
0.16988570762157695,0.030374029496146718,2
-1.0865085391974652,0.03396227923651279,2
-0.7018047191670604,0.005084232502030189,2
-0.6558934967298199,-0.02478109487682916,0
-0.46118869921189787,0.05572681259909193,2
-0.23242399330347907,0.05504230281110348,2
0.4825309584980797,0.018682287950491386,2
-0.005363715260616964,-0.05046482407867263,0
-0.22923546156704522,-0.009234050529632748,0
0.5609622931756155,0.0120362782190446,2
-1.1645246891177707,0.034228131867388156,2
-0.5164273988184419,0.061519538130985596,2
-0.6402029547313572,0.02187718655418308,2
-0.728446910974646,0.0014077092103576827,2
-0.16437274858881157,0.044878704570374045,2
-0.07058556388788362,0.04802858808275477,2
